split,task,model,train_period,validation_period,test_period,rows,positive_rate,decision_threshold,threshold_source,validation_precision,validation_recall,validation_F1,validation_Brier,accuracy,precision,recall,F1,ROC_AUC,PR_AUC,Brier,model_family,feature_count
normal_pre_covid_test,attention_pulse_classification,ML: HGB all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,0.12925407925407925,0.13999999999999999,validation_f1,0.25977961432506885,0.6525951557093426,0.3716256157635468,0.1328217913234234,0.5625874125874126,0.1876181474480151,0.7159603246167718,0.29732259876427636,0.6781235505270213,0.2348286927584152,0.10797070287705736,HistGradientBoostingClassifier,100
normal_pre_covid_test,attention_pulse_classification,ML: historical + business,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,0.12925407925407925,0.4099999999999999,validation_f1,0.2603638532657322,0.6041522491349481,0.36390162567736556,0.17198694829823136,0.5886946386946387,0.18652849740932642,0.6492335437330928,0.2897967397866774,0.6648652517416608,0.2336460504773766,0.17516759887182115,RandomForestClassifier,16
normal_pre_covid_test,attention_pulse_classification,ML: HGB selected top 20,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,0.12925407925407925,0.16499999999999998,validation_f1,0.273269294468367,0.5709342560553633,0.3696236559139785,0.13261692815882264,0.5858974358974359,0.18472652218782248,0.6456266907123535,0.2872617853560682,0.6605223998680079,0.22176434741396545,0.11179266761486405,SelectKBest + HistGradientBoostingClassifier,100
normal_pre_covid_test,attention_pulse_classification,ML: all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,0.12925407925407925,0.37999999999999995,validation_f1,0.2451523545706371,0.6124567474048442,0.35014836795252224,0.1676343318595277,0.5913752913752913,0.18268467037331215,0.6221821460775473,0.28243962341383544,0.6554451181780251,0.23240336147130178,0.16064152006539753,RandomForestClassifier,100
normal_pre_covid_test,attention_pulse_classification,ML: Logistic all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,0.12925407925407925,0.43999999999999995,validation_f1,0.2445914991091881,0.6650519031141868,0.35764793449944177,0.20063838930127906,0.5854312354312354,0.18125,0.6275924256086565,0.2812689432208527,0.6373941971475157,0.18895127532696496,0.19999102962411405,LogisticRegression,100
normal_pre_covid_test,attention_pulse_classification,ML: Logistic selected top 20,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,0.12925407925407925,0.44499999999999995,validation_f1,0.2401935812531839,0.6525951557093426,0.3511450381679389,0.2024304900056359,0.5827505827505828,0.1786736020806242,0.6194770063119928,0.27735163504238997,0.6332065592005348,0.17777635200755926,0.20329932745233573,SelectKBest + LogisticRegression,100
normal_pre_covid_test,attention_pulse_classification,ML: historical,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,0.12925407925407925,0.41999999999999993,validation_f1,0.23295721673718853,0.6858131487889273,0.34778031233549744,0.19099719958115124,0.49405594405594405,0.16735282009057226,0.7330928764652841,0.27249874308697836,0.6606554058922635,0.2277869388289846,0.20192238538543825,RandomForestClassifier,10
normal_pre_covid_test,attention_pulse_classification,ML: historical + NLP,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,0.12925407925407925,0.37499999999999994,validation_f1,0.2409571508069004,0.5993079584775086,0.343718991863465,0.1666772273028061,0.5797202797202797,0.17427602400208714,0.6023444544634806,0.27033589639821937,0.6393191636455672,0.211401503855174,0.15909550151239185,RandomForestClassifier,71
normal_pre_covid_test,attention_pulse_classification,ML: historical + SNA,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,0.12925407925407925,0.36499999999999994,validation_f1,0.22617262797172843,0.730795847750865,0.34543670264965654,0.1760071624140291,0.49195804195804194,0.1638394704178734,0.7141568981064021,0.2665320545179202,0.644904089017963,0.22133997519582502,0.16961652899192217,RandomForestClassifier,33
normal_pre_covid_test,attention_pulse_classification,Baseline: rising recent activity,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,0.12925407925407925,0.5,fixed_baseline_rule,0.19935408103347035,0.4698961937716263,0.27994227994227994,0.4071095571095571,0.6501165501165501,0.14669652855543114,0.35437330928764654,0.2074973600844773,0.5241950872499,0.13543521773508133,0.3498834498834499,rule_baseline,0
normal_pre_covid_test,attention_pulse_classification,Baseline: previous-month pulse rule,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,0.12925407925407925,0.5,fixed_baseline_rule,0.23915050784856878,0.17923875432525951,0.20490506329113925,0.23426573426573427,0.8171328671328671,0.22019464720194648,0.16321009918845808,0.18746763335059555,0.5387058393144807,0.14409649836910537,0.18286713286713285,rule_baseline,0
