split,task,model,train_period,validation_period,test_period,k_fraction,selected_rows,actual_positives,selected_positives,base_positive_rate,precision_at_k,recall_at_k,lift_vs_base_rate
primary_covid_test,attention_pulse_top_k,ML: Logistic all modalities,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.05,1052,2153,410,0.10240677321156773,0.3897338403041825,0.19043195541105434,3.8057428047167363
primary_covid_test,attention_pulse_top_k,ML: Logistic selected top 20,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.05,1052,2153,375,0.10240677321156773,0.3564638783269962,0.17417556897352532,3.480862321387259
primary_covid_test,attention_pulse_top_k,ML: HGB selected top 20,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.05,1052,2153,353,0.10240677321156773,0.3355513307984791,0.1639572689270785,3.276651731865873
primary_covid_test,attention_pulse_top_k,ML: HGB all modalities,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.05,1052,2153,351,0.10240677321156773,0.33365019011406843,0.1630283325592197,3.258087132818474
primary_covid_test,attention_pulse_top_k,Baseline: previous-month pulse rule,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.05,1052,2153,313,0.10240677321156773,0.2975285171102662,0.14537854156990246,2.9053597509178988
primary_covid_test,attention_pulse_top_k,ML: historical + business,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.05,1052,2153,277,0.10240677321156773,0.2633079847908745,0.12865768694844404,2.5711969680647218
primary_covid_test,attention_pulse_top_k,Baseline: rising recent activity,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.05,1052,2153,230,0.10240677321156773,0.21863117870722434,0.10682768230376219,2.134928890450852
primary_covid_test,attention_pulse_top_k,ML: all modalities,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.05,1052,2153,223,0.10240677321156773,0.21197718631178708,0.10357640501625638,2.0699527937849567
primary_covid_test,attention_pulse_top_k,ML: historical,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.05,1052,2153,215,0.10240677321156773,0.20437262357414449,0.09986065954482118,1.9956943975953618
primary_covid_test,attention_pulse_top_k,ML: historical + SNA,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.05,1052,2153,206,0.10240677321156773,0.1958174904942966,0.09568044588945657,1.9121537018820676
primary_covid_test,attention_pulse_top_k,ML: historical + NLP,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.05,1052,2153,172,0.10240677321156773,0.1634980988593156,0.07988852763585694,1.5965555180762896
primary_covid_test,attention_pulse_top_k,ML: Logistic all modalities,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.1,2103,2153,656,0.10240677321156773,0.3119353304802663,0.30469112865768694,3.04604198235816
primary_covid_test,attention_pulse_top_k,ML: Logistic selected top 20,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.1,2103,2153,572,0.10240677321156773,0.2719923918212078,0.2656758012076173,2.656000021202542
primary_covid_test,attention_pulse_top_k,ML: HGB selected top 20,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.1,2103,2153,557,0.10240677321156773,0.2648597242035188,0.2587087784486763,2.5863496709961815
primary_covid_test,attention_pulse_top_k,ML: HGB all modalities,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.1,2103,2153,551,0.10240677321156773,0.26200665715644317,0.25592196934509986,2.5584895309136373
primary_covid_test,attention_pulse_top_k,Baseline: previous-month pulse rule,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.1,2103,2153,505,0.10240677321156773,0.24013314312886352,0.2345564328843474,2.3448951236141324
primary_covid_test,attention_pulse_top_k,Baseline: rising recent activity,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.1,2103,2153,452,0.10240677321156773,0.21493105087969566,0.2099396191360892,2.098797219551659
primary_covid_test,attention_pulse_top_k,ML: historical + business,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.1,2103,2153,452,0.10240677321156773,0.21493105087969566,0.2099396191360892,2.098797219551659
primary_covid_test,attention_pulse_top_k,ML: all modalities,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.1,2103,2153,417,0.10240677321156773,0.19828815977175462,0.19368323269856014,1.936279735736818
primary_covid_test,attention_pulse_top_k,ML: historical + SNA,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.1,2103,2153,402,0.10240677321156773,0.19115549215406563,0.18671620993961913,1.8666293855304579
primary_covid_test,attention_pulse_top_k,ML: historical,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.1,2103,2153,390,0.10240677321156773,0.18544935805991442,0.18114259173246633,1.8109091053653696
primary_covid_test,attention_pulse_top_k,ML: historical + NLP,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.1,2103,2153,307,0.10240677321156773,0.1459819305753685,0.14259173246632606,1.4255105008901754
primary_covid_test,attention_pulse_top_k,ML: Logistic all modalities,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.2,4205,2153,975,0.10240677321156773,0.2318668252080856,0.4528564793311658,2.2641747018926113
primary_covid_test,attention_pulse_top_k,ML: HGB all modalities,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.2,4205,2153,886,0.10240677321156773,0.2107015457788347,0.41151881096144916,2.0574961906429268
primary_covid_test,attention_pulse_top_k,ML: Logistic selected top 20,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.2,4205,2153,875,0.10240677321156773,0.2080856123662307,0.4064096609382257,2.0319516555446513
primary_covid_test,attention_pulse_top_k,ML: HGB selected top 20,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.2,4205,2153,873,0.10240677321156773,0.20760998810939357,0.40548072457036693,2.0273071946176917
primary_covid_test,attention_pulse_top_k,Baseline: rising recent activity,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.2,4205,2153,861,0.10240677321156773,0.204756242568371,0.39990710636321414,1.9994404290559369
primary_covid_test,attention_pulse_top_k,ML: historical + business,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.2,4205,2153,771,0.10240677321156773,0.18335315101070154,0.358104969809568,1.7904396873427726
primary_covid_test,attention_pulse_top_k,ML: all modalities,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.2,4205,2153,729,0.10240677321156773,0.17336504161712246,0.3385973060845332,1.6929060078766291
primary_covid_test,attention_pulse_top_k,ML: historical + SNA,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.2,4205,2153,725,0.10240677321156773,0.1724137931034483,0.3367394333488156,1.683617086022711
primary_covid_test,attention_pulse_top_k,Baseline: previous-month pulse rule,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.2,4205,2153,700,0.10240677321156773,0.16646848989298454,0.3251277287505806,1.625561324435721
primary_covid_test,attention_pulse_top_k,ML: historical,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.2,4205,2153,693,0.10240677321156773,0.1648038049940547,0.32187645146307475,1.6093057111913638
primary_covid_test,attention_pulse_top_k,ML: historical + NLP,2015-02 to 2018-12,2019-01 to 2019-12,2020-01 to 2021-12,0.2,4205,2153,589,0.10240677321156773,0.14007134363852555,0.2735717603344171,1.367793742989485
secondary_pre_covid_test,attention_pulse_top_k,ML: all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,182,0.1319569974312625,0.34600760456273766,0.13121845710165825,2.6221239593070913
secondary_pre_covid_test,attention_pulse_top_k,ML: historical + business,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,179,0.1319569974312625,0.3403041825095057,0.12905551550108146,2.5789021358020294
secondary_pre_covid_test,attention_pulse_top_k,ML: historical,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,177,0.1319569974312625,0.3365019011406844,0.12761355443403027,2.5500875867986545
secondary_pre_covid_test,attention_pulse_top_k,ML: historical + SNA,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,175,0.1319569974312625,0.33269961977186313,0.12617159336697908,2.52127303779528
secondary_pre_covid_test,attention_pulse_top_k,ML: historical + NLP,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,169,0.1319569974312625,0.32129277566539927,0.12184571016582552,2.4348293907851564
secondary_pre_covid_test,attention_pulse_top_k,ML: HGB all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,168,0.1319569974312625,0.3193916349809886,0.12112472963229992,2.420422116283469
secondary_pre_covid_test,attention_pulse_top_k,ML: HGB selected top 20,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,156,0.1319569974312625,0.2965779467680608,0.11247296322999278,2.2475348222632205
secondary_pre_covid_test,attention_pulse_top_k,ML: Logistic all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,149,0.1319569974312625,0.2832699619771863,0.10742609949531362,2.1466839007514094
secondary_pre_covid_test,attention_pulse_top_k,ML: Logistic selected top 20,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,132,0.1319569974312625,0.2509505703422053,0.09516943042537851,1.901760234222725
secondary_pre_covid_test,attention_pulse_top_k,Baseline: previous-month pulse rule,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,118,0.1319569974312625,0.22433460076045628,0.08507570295602018,1.700058391199103
secondary_pre_covid_test,attention_pulse_top_k,Baseline: rising recent activity,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,85,0.1319569974312625,0.16159695817490494,0.061283345349675555,1.2246183326434217
secondary_pre_covid_test,attention_pulse_top_k,ML: historical,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.1,1052,1387,317,0.1319569974312625,0.30133079847908745,0.22855082912761354,2.283553008517439
