split,task,model,train_period,validation_period,test_period,rows,MAE,RMSE,WAPE,model_family,feature_count,model_name,business_count,scope
normal_pre_covid_test,review_count_regression,Baseline: rolling 3-month avg,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,2.4140248640248645,3.8298724284136174,0.3793467643467644,temporal_baseline,0,Baseline: rolling 3-month avg,,
normal_pre_covid_test,review_count_regression,ML: HGB all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,2.426770410653288,4.184709738789837,0.3813496359598024,HistGradientBoostingRegressor,100,ML: HGB all modalities,,
normal_pre_covid_test,review_count_regression,ML: all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,2.445470156225184,4.294174366074466,0.3842881674068146,RandomForestRegressor,100,ML: all modalities,,
normal_pre_covid_test,review_count_regression,ML: historical + business,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,2.46804323337818,4.291359851169077,0.3878353652451426,RandomForestRegressor,16,ML: historical + business,,
normal_pre_covid_test,review_count_regression,ML: HGB selected top 20,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,2.491091167369145,4.274035880893786,0.3914571834437228,SelectKBest + HistGradientBoostingRegressor,100,ML: HGB selected top 20,,
normal_pre_covid_test,review_count_regression,ML: historical + NLP,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,2.557820643766957,4.3034653133118494,0.4019432440205219,RandomForestRegressor,71,ML: historical + NLP,,
normal_pre_covid_test,review_count_regression,ML: historical + SNA,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,2.628657009985473,4.326651992079841,0.4130746729977171,RandomForestRegressor,33,ML: historical + SNA,,
normal_pre_covid_test,review_count_regression,ML: historical,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,2.6546012367847736,4.374077556269138,0.4171516229233216,RandomForestRegressor,10,ML: historical,,
normal_pre_covid_test,review_count_regression,Baseline: last month,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,2.770862470862471,4.3691811120327335,0.4354212454212454,temporal_baseline,0,Baseline: last month,,
normal_pre_covid_test,review_count_regression,Baseline: seasonal naive,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,3.389393939393939,5.58055022309994,0.5326190476190477,temporal_baseline,0,Baseline: seasonal naive,,
normal_pre_covid_test,review_count_regression,ML: Poisson all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,3.599197328644358,16.93283570245606,0.5655881516441135,PoissonRegressor,100,ML: Poisson all modalities,,
normal_pre_covid_test,review_count_regression,ML: Poisson selected top 20,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,8580,3.7465810334841474,13.67582430316178,0.5887484481189375,SelectKBest + PoissonRegressor,100,ML: Poisson selected top 20,,
normal_pre_covid_test,review_count_regression_top10,Prophet,2015-01 to 2017-12,not used,2019-01 to 2019-12,120,14.370897770433347,18.347806298951582,0.2300263748768843,Prophet,0,Prophet,10.0,top_10_businesses_by_total_reviews
