term,feature
amazing,tfidf_recent_amazing
bar,tfidf_recent_bar
best,tfidf_recent_best
came,tfidf_recent_came
chicken,tfidf_recent_chicken
come,tfidf_recent_come
day,tfidf_recent_day
definitely,tfidf_recent_definitely
delicious,tfidf_recent_delicious
did,tfidf_recent_did
didn,tfidf_recent_didn
don,tfidf_recent_don
drinks,tfidf_recent_drinks
eat,tfidf_recent_eat
experience,tfidf_recent_experience
food,tfidf_recent_food
fried,tfidf_recent_fried
friendly,tfidf_recent_friendly
good,tfidf_recent_good
got,tfidf_recent_got
great,tfidf_recent_great
just,tfidf_recent_just
like,tfidf_recent_like
little,tfidf_recent_little
love,tfidf_recent_love
meal,tfidf_recent_meal
menu,tfidf_recent_menu
new,tfidf_recent_new
new orleans,tfidf_recent_new_orleans
nice,tfidf_recent_nice
night,tfidf_recent_night
nola,tfidf_recent_nola
order,tfidf_recent_order
ordered,tfidf_recent_ordered
orleans,tfidf_recent_orleans
oysters,tfidf_recent_oysters
people,tfidf_recent_people
place,tfidf_recent_place
really,tfidf_recent_really
recommend,tfidf_recent_recommend
restaurant,tfidf_recent_restaurant
service,tfidf_recent_service
shrimp,tfidf_recent_shrimp
staff,tfidf_recent_staff
table,tfidf_recent_table
time,tfidf_recent_time
try,tfidf_recent_try
ve,tfidf_recent_ve
wait,tfidf_recent_wait
went,tfidf_recent_went
