business_id,name,train_months,test_months,MAE,RMSE
GBTPC53ZrG1ZBY3DT8Mbcw,Luke,35,12,8.323512508098304,9.825147077182535
_C7QiQQc47AOEv4PE3Kong,Commander's Palace,35,12,8.653364542356274,10.227640236144353
iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,35,12,7.783975156054406,10.33069198637598
oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans,35,12,12.923478809116878,15.223641900653329
qb28j-FNX1_6xm7u372TZA,Gumbo Shop,35,12,13.806975257470535,15.495537912370592
6a4gLLFSgr-Q6CZXDLzBGQ,Cochon,35,12,12.599261457114943,15.909710878369243
VaO-VW3e1kARkU9bP1E7Fw,Felix's Restaurant & Oyster Bar,35,12,13.350530800649018,16.19044018400424
_ab50qdWOk0DdB6XOrBitw,Acme Oyster House,35,12,17.469261066563572,20.718429964376714
VQcCL9PiNL_wkGf-uF3fjg,Royal House,35,12,17.872785371115256,21.334267760431263
ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill,35,12,30.92583273579429,34.45336094595287
