model,scope,rows,MAE,RMSE,WAPE
Baseline: rolling 3-month avg,same top-10 businesses,120,10.13888888888889,12.988171256670146,0.16228713707705306
Baseline: last month,same top-10 businesses,120,12.116666666666667,15.18826301238339,0.19394424436441243
Prophet,top-10 businesses,120,14.370897770433347,18.347806298951582,0.2300263748768843
Baseline: seasonal naive,same top-10 businesses,120,16.883333333333333,21.427785699880424,0.2702414299052954
ML: historical + SNA,same top-10 businesses,120,14.14671980192791,21.626060835704653,0.22643809206767362
ML: HGB all modalities,same top-10 businesses,120,14.25496682536098,21.672766839532386,0.228170737500776
ML: all modalities,same top-10 businesses,120,14.454041041874406,22.23216674860047,0.23135719954981043
ML: historical + NLP,same top-10 businesses,120,14.1861984378807,22.345507515160275,0.2270700030072941
ML: historical,same top-10 businesses,120,14.444701937606697,22.41333483819576,0.23120771408734206
ML: historical + business,same top-10 businesses,120,14.689078239384537,22.555587073772216,0.23511929954997257
ML: HGB selected top 20,same top-10 businesses,120,15.155767689893333,23.630068445000063,0.24258931876579964
ML: Poisson all modalities,same top-10 businesses,120,27.838342408748172,55.60990647715936,0.44559171522606117
ML: Poisson selected top 20,same top-10 businesses,120,53.96940985878362,133.87478687948206,0.8638561001806102
