feature,non_pulse_mean,pulse_mean,absolute_difference,relative_lift_vs_non_pulse
avg_recent_review_word_count,91.30310139185136,96.36077574491478,5.057674353063419,1.0553943324592785
sentiment_positive_pct,78.66532892376809,82.92293551105426,4.257606587286176,1.0541230380084228
avg_reviewer_weighted_degree,11.803386938160108,13.71067314723395,1.9072862090738418,1.1615880440983957
sentiment_negative_pct,9.895891152035572,10.328080745493729,0.43218959345815655,1.043673640586604
recent_text_avg_stars,3.7616563580479627,3.927563780569844,0.1659074225218813,1.0441048853829848
sentiment_compound_mean,0.6211836914109956,0.659390052078012,0.03820636066701644,1.0615057368622027
share_recent_positive_language,0.7523385334225993,0.7846577732804048,0.03231923985780549,1.0429583736868777
fraction_active_to_date_reviewers,0.38412208017793065,0.40736713774090905,0.0232450575629784,1.0605147653897193
fraction_repeat_reviewers,0.7516597946945162,0.7636750005394217,0.012015205844905563,1.0159848989259679
share_recent_negative_language,0.21366584547114628,0.22295368885627312,0.009287843385126837,1.0434690128628026
tfidf_recent_good,0.2699574733804393,0.2788762457459677,0.008918772365528405,1.033037693877656
tfidf_recent_best,0.2562389981856983,0.26115054889478045,0.004911550709082169,1.0191678501081352
tfidf_recent_got,0.25201881450816527,0.25674968524056485,0.0047308707323995836,1.0187718950334412
tfidf_recent_bar,0.20473403289450298,0.20916042145226074,0.00442638855775776,1.0216201893509256
tfidf_recent_food,0.21898916615280553,0.22326574967510088,0.004276583522295346,1.0195287447202355
tfidf_recent_definitely,0.24407765120266775,0.2476191436113588,0.0035414924086910604,1.0145096955466455
tfidf_recent_don,0.23603652364043862,0.23867680907467315,0.0026402854342345294,1.0111859189989452
max_reviewer_weighted_pagerank,0.000854633347619196,0.0008752272754898245,2.0593927870628595e-05,1.0240967988529799
tfidf_recent_delicious,0.2276928059034695,0.22771217674212363,1.9370838654136913e-05,1.0000850744430738
tfidf_recent_amazing,0.25919503070785144,0.25899857317862657,-0.00019645752922486936,0.9992420474702453
tfidf_recent_come,0.22306844558384317,0.22264341476065144,-0.0004250308231917299,0.998094617003856
tfidf_recent_experience,0.2215063416422822,0.22089829181684764,-0.0006080498254345534,0.9972549326537273
tfidf_recent_friendly,0.253846796620131,0.25232433615572625,-0.0015224604644047401,0.9940024436602088
tfidf_recent_did,0.22465610434920072,0.2222951713969672,-0.0023609329522335243,0.9894909022878642
tfidf_recent_drinks,0.19655226246046345,0.19350167908475768,-0.0030505833757057677,0.9844795305965028
tfidf_recent_didn,0.22485761460863543,0.22162559309596572,-0.003232021512669714,0.98562636396239
tfidf_recent_eat,0.19416336518195873,0.19028741893795362,-0.003875946244005113,0.9800377056692812
tfidf_recent_came,0.22053593184333534,0.21661672879459154,-0.003919203048743797,0.982228732451962
tfidf_recent_day,0.22553308347154374,0.22081197610270376,-0.0047211073688399885,0.9790668965449778
tfidf_recent_chicken,0.17594985637728125,0.17084488716501886,-0.005104969212262389,0.9709862268866192
tfidf_recent_fried,0.14733728887193068,0.14039515224300153,-0.006942136628929146,0.9528826905796847
avg_reviewer_recency_months,0.9669155628848359,0.947723875305456,-0.019191687579379946,0.9801516406229716
reviewer_community_diversity,1.6609046711966566,1.5825020441537203,-0.07840262704293632,0.9527952275632723
same_month_previous_year,5.306229209905325,4.058544562551104,-1.2476846473542214,0.7648641628550225
prev_month_reviews,6.5809001222528645,5.312346688470973,-1.2685534337818911,0.8072370936777532
rolling_3_avg,6.642836835072357,4.956936494957755,-1.6859003401146024,0.7462077750858622
rolling_6_avg,6.696347577213582,4.6735241210139,-2.0228234561996823,0.6979213768587861
recent_reviewer_count,19.76015693856083,14.83221586263287,-4.92794107592796,0.7506122501329248
recent_text_review_count,19.88874989338413,14.929681112019624,-4.959068781364506,0.7506596036478839
